Sun Dec  3 21:24:53 CET 2023
Rank 6 out of 16 in MPI_COMM_WORLD, New Rank 2 out of 4 in new_comm, Subgroup 1
Rank 7 out of 16 in MPI_COMM_WORLD, New Rank 3 out of 4 in new_comm, Subgroup 1
Rank 8 out of 16 in MPI_COMM_WORLD, New Rank 0 out of 4 in new_comm, Subgroup 2
Rank 9 out of 16 in MPI_COMM_WORLD, New Rank 1 out of 4 in new_comm, Subgroup 2
Rank 10 out of 16 in MPI_COMM_WORLD, New Rank 2 out of 4 in new_comm, Subgroup 2
Rank 11 out of 16 in MPI_COMM_WORLD, New Rank 3 out of 4 in new_comm, Subgroup 2
Rank 12 out of 16 in MPI_COMM_WORLD, New Rank 0 out of 4 in new_comm, Subgroup 3
Rank 13 out of 16 in MPI_COMM_WORLD, New Rank 1 out of 4 in new_comm, Subgroup 3
Rank 14 out of 16 in MPI_COMM_WORLD, New Rank 2 out of 4 in new_comm, Subgroup 3
Rank 15 out of 16 in MPI_COMM_WORLD, New Rank 3 out of 4 in new_comm, Subgroup 3
Rank 0 out of 16 in MPI_COMM_WORLD, New Rank 0 out of 4 in new_comm, Subgroup 0
Rank 1 out of 16 in MPI_COMM_WORLD, New Rank 1 out of 4 in new_comm, Subgroup 0
Rank 2 out of 16 in MPI_COMM_WORLD, New Rank 2 out of 4 in new_comm, Subgroup 0
Rank 3 out of 16 in MPI_COMM_WORLD, New Rank 3 out of 4 in new_comm, Subgroup 0
Rank 4 out of 16 in MPI_COMM_WORLD, New Rank 0 out of 4 in new_comm, Subgroup 1
Rank 5 out of 16 in MPI_COMM_WORLD, New Rank 1 out of 4 in new_comm, Subgroup 1
